material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,344.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,Sunday,"1917 S Avenue B. Yuma, AZ, 85364",85364,mountains,2022-11-06,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,344.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,Sunday,"1917 S Avenue B. Yuma, AZ, 85364",85364,mountains,2022-11-06,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Sunday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-06,copper,1600.95,7953.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Sunday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-06,copper,1600.95,7953.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,511.7,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Sunday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-06,copper,1600.95,7953.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,511.7,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Sunday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-06,copper,1600.95,7953.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Sunday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-06,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Sunday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-06,copper,1600.95,7953.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,456.49,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-11,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,456.49,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-11,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-11,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-11,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-11,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-11,copper,1700.39,8440.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,354.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,Friday,"1917 S Avenue B. Yuma, AZ, 85364",85364,mountains,2022-11-11,copper,1700.39,8440.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,354.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,Friday,"1917 S Avenue B. Yuma, AZ, 85364",85364,mountains,2022-11-11,copper,1700.39,8440.5,low price
