material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,7.22,https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,steel,1580.45,7543.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-21,copper,1580.45,7543.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-21,copper,1580.45,7543.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,wireandcableyourway,165.0,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,Friday,"1431 7th St Ste 204. Santa Monica, California, 90401",90401,west,2022-10-21,copper,1580.45,7543.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,5.99,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-21,steel,1580.45,7543.0,high price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),lowes,5.99,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-21,steel,1580.45,7543.0,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,wilmar,17.55,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,Friday,"28 Biopolis Road. Singapore, 138568",other,other,2022-10-21,steel,1580.45,7543.0,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,Friday,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",32219,southeast,2022-10-21,steel,1580.45,7543.0,about average
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-21,steel,1580.45,7543.0,high price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,289.0,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,copper,1580.45,7543.0,low price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,homedepot,765.0,https://www.homedepot.com/p/Southwire-500-ft-4-Black-Stranded-CU-SIMpull-THHN-Wire-20499001/202316585,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,copper,1580.45,7543.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,socalelectric,117.0,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,Friday,"5512 West Pico Blvd. Los Angeles, CA, 90019",90019,west,2022-10-21,copper,1580.45,7543.0,high price
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,homedepot,1.6,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,steel,1580.45,7543.0,high price
