material_description,material_price,vendor,location,dow,zip,region,date,raw_material,steel_price,copper_price,target_price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.99,homehardware,online,Wednesday,other,other,2022-11-09,steel,1583.59,8033.85,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Wednesday,60901,central,2022-11-09,steel,1583.59,8033.85,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Thursday,30339,southeast,2022-11-10,steel,1630.76,8062.5,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Thursday,28117,east,2022-11-10,steel,1630.76,8062.5,about average
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Thursday,60901,central,2022-11-10,steel,1630.76,8062.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Thursday,68110,central,2022-11-10,steel,1630.76,8062.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Thursday,32219,southeast,2022-11-10,steel,1630.76,8062.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.24,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Thursday,54703,northplaines,2022-11-10,steel,1630.76,8062.5,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Friday,60901,central,2022-11-11,steel,1700.39,8440.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.63,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-11-12,steel,1700.39,8440.5,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Saturday,28117,east,2022-11-12,steel,1700.39,8440.5,about average
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Saturday,60901,central,2022-11-12,steel,1700.39,8440.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Saturday,68110,central,2022-11-12,steel,1700.39,8440.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Saturday,32219,southeast,2022-11-12,steel,1700.39,8440.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.24,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Saturday,54703,northplaines,2022-11-12,steel,1700.39,8440.5,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-11-13,steel,1700.39,8440.5,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Sunday,28117,east,2022-11-13,steel,1700.39,8440.5,about average
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Sunday,60901,central,2022-11-13,steel,1700.39,8440.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Sunday,68110,central,2022-11-13,steel,1700.39,8440.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Sunday,32219,southeast,2022-11-13,steel,1700.39,8440.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.24,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Sunday,54703,northplaines,2022-11-13,steel,1700.39,8440.5,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-11-14,steel,1716.12,8345.5,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Monday,28117,east,2022-11-14,steel,1716.12,8345.5,about average
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Monday,60901,central,2022-11-14,steel,1716.12,8345.5,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Monday,68110,central,2022-11-14,steel,1716.12,8345.5,low price
