material_description,vendor,material_price,link,formatted_datetime,dow,vendor_id,location,product_id
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),supplyworks,3.66,https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,11/4/2022,Friday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",202241090
500 ft. 4 Gauge Black Stranded Copper THHN Wire,ebay,1047.78,https://www.ebay.com/p/17040228268,11/3/2022,Thursday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202316275
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,289,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,11/12/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019377
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,11/3/2022,Thursday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304774
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,rona,5.29,https://www.rona.ca/en/product/emt-set-screw-couplings-1-2-5-pk-0320428,10/28/2022,Friday,20,"220 ch du Tremblay Boucherville. QC, J4B 8H7, Canada",100144234
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,511.7,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,11/9/2022,Wednesday,6,"410 Terry Ave N. Seattle, WA, 98109",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,511.7,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,11/9/2022,Wednesday,6,"410 Terry Ave N. Seattle, WA, 98109",202019375
500 ft. 4 Gauge Black Stranded Copper THHN Wire,ebay,1047.78,https://www.ebay.com/p/17040228268,11/6/2022,Sunday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202316275
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/8/2022,Tuesday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304774
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),amazon,8.63,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/10/2022,Thursday,6,"410 Terry Ave N. Seattle, WA, 98109",202077147
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,homedepot,1.6,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,10/31/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202288508
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.12,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/3/2022,Thursday,2,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",100400406
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,10/26/2022,Wednesday,4,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",100400406
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,homedepot,1.6,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/10/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202288508
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,289,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/28/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019377
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.6,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/6/2022,Sunday,2,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",100400406
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,10/25/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,10/25/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019375
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),com/p/halex-screw-emt-conduit-connector-051411262723,5.69,https://goldbeachlumber.com/p/halex-screw-emt-conduit-connector-051411262723,10/29/2022,Saturday,24,online,202077147
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),amazon,11.03,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/9/2022,Wednesday,6,"410 Terry Ave N. Seattle, WA, 98109",202077147
500 ft. 4 Gauge Black Stranded Copper THHN Wire,homedepot,765,https://www.homedepot.com/p/Southwire-500-ft-4-Black-Stranded-CU-SIMpull-THHN-Wire-20499001/202316585,10/30/2022,Sunday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316275
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,11/12/2022,Saturday,8,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",202019377
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,11/7/2022,Monday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304774
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,11/1/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,11/1/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019375
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,8.41,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/28/2022,Friday,6,"410 Terry Ave N. Seattle, WA, 98109",202077145
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),homedepot,4.6,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,10/28/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202077147
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),supplyworks,3.66,https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,10/21/2022,Friday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",202241090
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,com/product/14-3-nm-b-wg-romex-wire-cable/,0.68,https://wirewireelectricsupply.com/product/14-3-nm-b-wg-romex-wire-cable/,11/4/2022,Friday,NULL,NULL,202304649
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100263,10/27/2022,Thursday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",100400405
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,117.7,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/9/2022,Wednesday,6,"410 Terry Ave N. Seattle, WA, 98109",202304774
500 ft. 4 Gauge Black Stranded Copper THHN Wire,amazon,613.64,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/26/2022,Wednesday,6,"410 Terry Ave N. Seattle, WA, 98109",202316275
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,11/5/2022,Saturday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202077145
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,homedepot,1.15,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/11/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100144234
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,4.86,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/5/2022,Saturday,2,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",100400409
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,homedepot,1.15,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/25/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100144234
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,dkhardware,33.34,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,10/31/2022,Monday,15,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",100137321
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,289,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/29/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019377
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/24/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202077145
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.6,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/7/2022,Monday,2,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",100400406
